"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3326","Checking registration with valid data on the 'Registration' page","Surefire suite","Wed Jul 09 18:16:04 GMT 2025","passed","Wed Jul 09 18:16:07 GMT 2025","tests.RegistrationTest","Surefire test","tests.RegistrationTest","checkCreateAccount"
"","29798","Create a workout and successfully update it with race-specific information","Surefire suite","Wed Jul 09 18:15:17 GMT 2025","passed","Wed Jul 09 18:15:46 GMT 2025","tests.AddNewWorkoutModalTest","Surefire test","tests.AddNewWorkoutModalTest","checkCreateAndChangeWorkout"
"","2555","checkLogin","Surefire suite","Wed Jul 09 18:15:51 GMT 2025","passed","Wed Jul 09 18:15:53 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","1115","checkLogin","Surefire suite","Wed Jul 09 18:15:53 GMT 2025","passed","Wed Jul 09 18:15:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","3919","Checking that the newly created workout appears correctly in the training calendar","Surefire suite","Wed Jul 09 18:15:47 GMT 2025","passed","Wed Jul 09 18:15:50 GMT 2025","tests.AddNewWorkoutModalTest","Surefire test","tests.AddNewWorkoutModalTest","checkAddedWorkoutInCalendar"
"","6762","Verifies that the 'Add New Workout' modal opens correctly after selecting an activity and activity type","Surefire suite","Wed Jul 09 18:15:57 GMT 2025","passed","Wed Jul 09 18:16:04 GMT 2025","tests.AddWorkoutTest","Surefire test","tests.AddWorkoutTest","checkAddWorkout"
"","1576","checkLogin","Surefire suite","Wed Jul 09 18:15:56 GMT 2025","passed","Wed Jul 09 18:15:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","1420","Checking registration that the message 'This field is required.' appears when the 'Last Name' field is empty","Surefire suite","Wed Jul 09 18:16:07 GMT 2025","passed","Wed Jul 09 18:16:09 GMT 2025","tests.RegistrationTest","Surefire test","tests.RegistrationTest","checkCreateAccountWithoutLastName"
"","1171","checkLogin","Surefire suite","Wed Jul 09 18:15:54 GMT 2025","passed","Wed Jul 09 18:15:56 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
